,country,startdate,enddate,duration,etype,escalation,target,npart,ndeath,locnum,issue,issuenote,riot,target cat,crime rate
0,Mexico,20-Jun-03,20-Jun-03,1,4,0,A family,-99,3,6,12,A disagreement between two families turns into a machete and gun fight.,1,1.0,359.577167974
1,El-Salvador,7-Feb-94,7-Feb-94,1,9,0,ARENA activist,-99,1,3,1,A government party activist is killed in connection to an upcoming election.,1,1.0,54.8044668202
2,El-Salvador,12-Feb-94,12-Feb-94,1,9,0,ARENA activist,-99,1,3,1,A government party activist is killed in connection to an upcoming election.,1,1.0,54.8044668202
3,El-Salvador,15-Feb-03,15-Feb-03,1,9,0,ARENA activist,-99,1,-99,1,An ARENA activist is killed in the latest of a series of political killings in advance of the elections.,1,1.0,54.8044668202
4,El-Salvador,7-Mar-94,7-Mar-94,1,4,0,ARENA candidate,-99,0,2,1,"FMLN activists throw stones at an ARENA rally, striking a candidate for the legislature in the eye.",1,1.0,54.8044668202
5,El-Salvador,12-Mar-94,12-Mar-94,1,4,0,ARENA supporters,-99,1,1,1,Violence erupts after an ARENA rally.,1,1.0,54.8044668202
6,Haiti,31-Mar-05,31-Mar-05,1,4,0,Abandoned soda truck,-99,0,1,3,"People looted an abandoned truck of soda, and onlookers then mobbed the looters, trying to pull soda bottles out of the boxes for themselves.",1,1.0,10.0
7,Mexico,15-Oct-97,15-Oct-97,1,4,0,Accused cattle rustlers,-99,7,3,12,Seven Tojolobal Indian men are shot to death and thrown in a deep cave after neighbors accuse them of rustling cattle.  Their bodies are not recovered until February.,1,1.0,359.577167974
8,Guatemala,10-Nov-00,10-Nov-00,1,4,0,Accused criminals,2,1,3,12,A mob of villagers burn two men accused of stealing cattle.  One of the victims dies.,1,1.0,40.1652129192
9,Guatemala,30-Nov-01,30-Nov-01,1,4,0,Accused robbers,3,2,3,12,A mob murders two suspected robbers.,1,1.0,40.1652129192
10,Mexico,13-Apr-98,13-Apr-98,1,4,0,Accused thief,3,1,3,12,A mob of enraged villagers drags a man from his jail cell and hangs him after he was caught with a stolen pig and burro.,1,1.0,359.577167974
11,Mexico,25-Jul-01,25-Jul-01,1,4,0,Accused thief,-99,1,1,6,A mob kills a man accused of stealing a statue of Mary Magdalene.,1,1.0,359.577167974
12,Haiti,6-Nov-95,12-Nov-95,7,4,0,Alleged military supporters,-99,1,3,10,A former paramilitary member was beaten and macheted to death and at least 20 homes of suspected military supporters were sacked or burned.,1,1.0,10.0
13,Mexico,14-Apr-03,14-Apr-03,1,4,0,Alleged witch,-99,1,3,6,An angry crowd stones to death an Indian man accused of practicing witchcraft.,1,1.0,359.577167974
14,Guatemala,8-Sep-03,8-Sep-03,1,9,0,Alliance Against Impunity,-99,0,1,10,The office of a human rights group is robbed and vandalized.,1,1.0,40.1652129192
