riot_name	participants	injuries	deaths
riot1	90	20	58
riot2	700	8	3
riot3	800	63	1
riot4	92	2	2
riot5	915	2	2
riot6	5000	90	2
riot7	15000	20	2
riot8	5000	50	44
riot9	5000	2	2
riot10	5000	2	6
riot11	8000	2	2
riot12	200	20	22
riot13	5000	2	6
riot14	207	2	2
riot15	3000	3	7
riot16	10000	5	800
riot17	20000	20	44
riot18	20000	29	44
riot19	950	0	2
riot20	2000	32	7
riot21	6000	5	58
riot22	5000	29	44
riot23	700	5	2
riot24	5000	766	44
riot25	5000	20	2
riot26	20000	29	6
riot27	5000	20	2
riot28	5000	400	2
riot29	5000	43	2
riot30	20000	20	39
riot31	20167	40	44
riot32	20000	30	7
riot33	5000	50	4
riot34	5000	20	2
riot35	5000	20	44
riot36	5000	2	2
riot37	5000	2	2
riot38	20	None	0
riot39	5000	20	2
riot40	5000	2	8
riot41	5000	2	2
riot42	5000	2	2
riot43	5000	20	2
riot44	5000	5	8
riot45	5000	5	2016
riot46	1961	500	1
riot47	2005	2	58
riot48	100000	8	8
riot49	40000	None	None
riot50	5000	31	2016
riot51	5000	20	2
riot52	2006	None	2
riot53	2006	None	2
riot54	570	0	8
riot55	5000	500	2
riot56	5000	20	2
riot57	5000	2	2016
riot58	5000	2	2
riot59	20000	20	2
riot60	5000	20	44
riot61	20000	4	44
riot62	350	0	1
riot63	5000	20	2
riot64	5000	2	7
riot65	5000	5	9
riot66	20000	29	44
riot67	20167	29	44
riot68	5000	500	3
riot69	5000	2	2
riot70	5000	2	2015
riot71	5000	20	44
riot72	350	20	1
riot73	5000	20	2
riot74	20000	29	44
riot75	400	40	5
riot76	1000	66	None
riot77	20000	20	44
riot78	5000	20	2
riot79	5000	2	44
riot80	5000	30	2
riot81	6000	10	2
riot82	350	86	3
riot83	62	20	1
riot84	5000	2	30
riot85	5000	29	44
riot86	5000	30	2
riot87	5000	29	44
riot88	600	0	1
riot89	5000	7	2
riot90	5000	20	2008
riot91	5000	2	6
riot92	5000	29	44
riot93	5000	200	44
riot94	5000	29	7
riot95	5000	26	2
riot96	5000	5	7
riot97	5000	40	500
riot98	5000	2	2
riot99	5000	30	2
riot100	10000	5	9
riot101	570	4	44
riot102	6000	8	8
riot103	5000	29	60
riot104	5000	94	9
riot105	700	100	4
riot106	1680	828	5
riot107	199180	6	6
riot108	5000	29	44
riot109	5000	5	4
riot110	5000	29	44
riot111	5000	8	9
riot112	5000	20	8
riot113	70	7	2
riot114	80	9	5
riot115	2007	50	None
riot116	5000	93	7
riot117	1976	8	6
riot118	5000	29	44
riot119	5000	2	60
riot120	5000	8	8
riot121	5000	2	2
riot122	5000	2	3
riot123	5000	20	8
riot124	100000	8	8
riot125	5000	8	7
