,subj,city,state,country,npart,crime rate,target,issue,violence rating,riot,population,npart,death
0,Seattle Mardi Gras riot,Seattle,Washington,United-States,,347.723531383,,human_rights,,1.0,,90.0,58.0
1,University of Maryland student riots following team's loss in the 2001 NCAA tournament,College Park,Maryland,United-States,,347.723531383,,sport,,1.0,,700.0,3.0
2,"Cincinnati Riots, April 2001",Cincinnati,Ohio,United-States,,347.723531383,,human_rights,,1.0,,800.0,1.0
3,"Quebec City Summit of the Americas, April 2001
",Quebec,,Canada,,269.502914962,,human_rights,,1.0,,92.0,2.0
4,"Oldham Riots, May 2001
",Oldham,Greater Manchester,United-Kingdom,,0.84898911353,,human_rights,,1.0,,915.0,2.0
5,"Gothenburg Riots, June 2001
",Gothenburg,,Sweden,,678.689919267,,human_rights,,1.0,,5000.0,2.0
6,"Harehills riot Leeds, June 2001",Harehills,West Yorkshire,United-Kingdom,,0.84898911353,,human_rights,,1.0,,15000.0,2.0
7,"Canada Day Riot, July 2001
",Edmonton,,Canada,,269.502914962,,sport,,1.0,,5000.0,44.0
8,"Bradford Riot, July 2001
",Bradford,,United-Kingdom,,0.84898911353,,human_rights,,1.0,,5000.0,2.0
9,"Genoa Group of Eight Summit protest, July 2001
",Genoa,,Italy,,278.546222159,,env,,1.0,,5000.0,6.0
10,"Holy Cross dispute, Summer 2001",Belfast,,Ireland,,413.345237544,,election,,1.0,,8000.0,2.0
11,"December 2001 Riots
",Buenos Aires,,Argentina,,718.289866699,,jobs,,1.0,,200.0,22.0
12,"Ohio State University, First Chittfest block party riot, April
",Columbus,Ohio,United-States,,347.723531383,,election,,1.0,,5000.0,6.0
13,"2002 San Salvador Atenco Airport Riot
",San Salvador,Mexico State,Mexico,,359.577167974,,human_rights,,1.0,,207.0,2.0
14,"Post Godhra Riots after the Godhra train burning, Feb 2002
",,Gujarat,India,,15.8234886831,,religion,,1.0,,3000.0,7.0
15,"2002 Naroda Patiya massacre, happened on 28 February, resulted in the death of 97 Muslims by approximately a mob of 5000 people
",Ahmedabad,,India,,15.8234886831,,domestic,,1.0,,10000.0,800.0
16,"2002 Urso Branco prison riot
",,Rondonia,Brazil,,335.394677759,,human_rights,,1.0,,20000.0,44.0
17,2002 Chinese textile worker riot,,Guangdong,China,,0.8,,jobs,,1.0,,20000.0,44.0
18,"University of Maryland students following their teams victory in the 2002 NCAA tournament
",College Park,Maryland,United-States,,347.723531383,,sport,,1.0,,950.0,2.0
19,"Ohio State University post University of Michigan football game riot, November 2002
",Columbus,Ohio,United-States,,347.723531383,,sport,,1.0,,2000.0,7.0
